Name,Description
Ghoul,Earth genie. Also a shape shifting desert anthropophagus; often classified as undead.
Giant,Humanoid creatures of immense size and strength
Giant animal,Unusually large beasts
Gidim,Ghost
Gigelorum,Smallest animal
Gjenganger,Corporeal ghost
Glashtyn,Malevolent water horse
Gnome,Diminutive Earth elemental
goatogo dragon,a feared goat with wings that attack in packs of 25 to 700
Goblin,Grotesque; mischievous little people
Gog,Giant protector of London
Golem,Animated construct
Gorgades,Hairy humanoid
Goryo,Vengeful ghosts; usually of martyrs
Gremlin,Goblins that sabotage airplanes
Grigori,Fallen angels; father of Nephilim
Grim,Tutelary spirits of churches
Grim Reaper,An angel of death; often thought to be God's/Satan's assistant
Grindylow,Malevolent water spirit
Gualichu,Malevolent spirit
Guardian angel,A subclassification of angels that guard and protect a specific person or any living being
Guhin,Anthropomorphic bird
Gui Po,Ghost that manifests as an old woman
Gui Shu,Ghostly tree that confuses travelers by moving
Gumiho,Demon fox with thousands of tails. Believed to possess an army of spirits and magic in its tails.
Gwyllgi,black dog
Gwyllion,Malevolent spirit
Gytrash,black dog
Habrok," The ""best"" hawk"
Hadhayosh,Gigantic land animal
Hag,Wizened old woman; usually a malevolent spirit with this specific form; or a goddess in disguise
Hakutaku,Talking beast which handed down knowledge on harmful spirits
Hakuturi,Nature guardian
Haltija,Spirit that protects a specific place
Hamadryad,Oak tree nymph
Hamingja,Personal protection spirit
Hamsa,Mystical bird
Hantu Air,Shapeshifting water spirit
Hantu Demon,Demon
Hantu Raya,Demonic servant
Harionago,Humanoid female with barbed; prehensile hair
Harpy,Death spirit with the form of a bird with a human head
Haugbui,Undead who cannot leave its burial mound
Havsra,Saltwater spirit
Headless Horseman,Humanoid spirit who haunts or kills
Hecatonchires,Primordial giants with 100 hands and fifty heads
Heinzelmannchen,Household spirit
Helead,Fen nymph
Hellhound,Dog from underworld
Heracles,Gatekeeper of Olympus
Hercinia,Glowing bird
Herensuge,Dragon
Hesperides,Nymph daughters of Atlas
Hidebehind,Nocturnal forest creature
Hiderigami,Drought spirit
Hihi,Baboon monster
Hiisi,Nature guardian
Hitodama,Ghosts of the newly dead; which take the form of fireballs
Hob,House spirit
Hobbididance,Malevolent spirit
Hobgoblin,Friendly or amusing goblin
Hodag,Part frog; part mammoth; part lizard; from Native American mythology
Hokhokw,Bird
Homunculus,Diminutive; animated construct
Hoopoe,Near passerine bird common to Africa and Eurasia that features in many mythologies in those continents
Horned Serpent,Serpentine rain spirit
Hotoke,Deceased person
Houri,Heavenly beings
Hraesvelg,Giant; who in eagle form; creates the wind by beating his wings
Hrimthursar,Frost Giants who are the main inhabitants of either Jotunheim or Niflheim
Hugin and Munin,Thought and Memory; a pair of ravens associated with the Norse god Odin
Huldra,Forest spirit
Huma,Regenerative fire bird
Hundun,Chaos spirit
Hupia,Nocturnal ghost
Hyakume,Creature with a hundred eyes
Hydros,Snake whose poison causes the victim to swell up
Hydrus,Snake from the Nile River that would kill crocodiles from the inside
Hypnalis,Snake that kills its victims in their sleep
Iara,Female water spirit
Ibong Adarna,Bird that changes color each time it finishes a song
Iele,Female nature spirits
Ifrit,Fire genie
Ijiraq,Spirit that kidnaps children
Ikiryo,Can be considered a 'living ghost'; as it is a person's spirit outside their body
Ikuchi,Sea serpent that travels over boats in an arc while dripping oil
Imp,Diminutive; demonic servant
Impundulu,Avian; vampiric lightning spirit
Indus Worm,Giant; white; carnivorous worm
Inugami,Dog spirit
Iratxoak,Diminutive; demonic servants
Irin,Fallen angels
Ishigaq,Little people
Jackalope,Rabbit with antlers
Jaculus,Winged serpent or small dragon
Jasy Jaterei,Nature guardian and bogeyman
Jaud,Vampirised premature baby
Jenglot,Vampiric little people
Jengu,Water spirit
Jenu,Anthropophagous giant
Jersey Devil,Demonic dragon that was given birth to by an American living in New Jersey
Jiaolong,Dragon
Jibakurei,Spirit that protects a specific place
Jievaras,House spirit
Jinn,Spiritual creatures; genii
Jogah,Little people nature spirit
Jormungandr,Sea serpent
Jorogumo,Spider woman
Jotai,Animated folding screen cloth
Jotunn,Gigantic nature spirits
Jujak,Bird
Jumbee,Malevolent spirit
Kabouter,Little people that live underground; in mushrooms; or as house spirits
Kachina,Nature spirit
Kahaku,Little people and water spirits
Kajsa,Wind spirit
Kalakeyas,Descendents of Kala
Kallikantzaroi,Grotesque; malevolent spirit
Kamaitachi,Wind spirit
Kamatayan,Philippine counterpart of Death
Kami,Nature spirit
Kanbo,Drought spirit
Kanedama,Money spirit
Kappa,Little people and water spirits
Kapre,Malevolent tree spirit
Karkinos,Giant crab
Karzelek,Little people and mine spirits
Kashanbo,Kappa who climb into the mountains for the winter
Kaukas,Nature spirit
Keelut,Hairless dog
Kekkai,Amorphous afterbirth spirit
Kelpie,Malevolent water horse
Ker,Female death spirit
Keukegen,Disease spirit
Keythong,Wingless griffin
Kijimunaa,Tree sprite from Okinawa
Kikimora,Female house spirit
Killmoulis,Ugly; mischievous mill spirit
Kirin,Japanese Unicorn
Kitsune,Fox spirit
Klabautermann,Ship spirit
Knocker,Cornish and Welsh
Knucker,Water dragon
Kobold,Little people and mine or house spirits
Kodama,Tree spirit
Kofewalt,House spirit
Kokakucho,Ubume bird
Komainu,Protective animal
Kongamoto,Flying creature
Korrigan,Little people and nature spirits
Kraken,Sea monster
Krasnoludek,Little people nature spirits
Krasue,Vampiric; floating head
Kuarahy Jara,Forest spirit
Kumakatok,Death spirits
Kumiho,Fox spirit
Kun,Giant fish
Kupua,Shapeshifting tricksters
Kurabokko,Guardian spirit of a warehouse
Kurma,Second avatar of Vishnu in the form of a Turtle
Kurupi,Wild man and fertility spirit
Kushtaka,Shapeshifting otter spirit
Kwakwakalanooksiwae,Bird
Kyourinrin,Animated scroll or paper
Kyuketsuki,Vampire
Labbu,Sea snake
Lady midday,Sunstroke spirit
Ladon,Dragon guarding the golden apples of the Hesperides
Laelaps,Enchanted dog that always caught his prey
Laestrygonians,Anthropophagic giants
Lakanica,Field spirit
Lake monster,Gigantic animals reputed to inhabit various lakes around the world
Lakhey,Demon with fangs
La Llorona,Death spirit associated with drowning
Lamassu,Protective spirit with the form of a winged bull or lion with a human head
Lambton Worm,Giant worm
Lamiak,Water spirit with bird feet
La Mojana,Shapeshifting; female water spirit
Lampades,Underworld nymph
Landvaettir,Nature spirits
Lares,House spirit
La Sayona,Female ghost that punishes unfaithful husbands
La Tunda,Nature spirit that seduces and kills men
Lava bear,Miniature bear thought to inhabit the lava beds of south central Oregon
Lauku dvasios,Field spirit
Lauma,Sky spirit
Lavellan,Gigantic water rat
Leanan sidhe,Fairy lover
Leanashe,Possessing spirit or vampire
Leimakids,Meadow nymph
Leontophone,Tiny animal poisonous to lions
Leprechaun,Cobbler spirit
Leszi,Tree spirit
Leuce,White poplar tree nymph
Leucrota,Hybrid of a lion and crocotta
Leviathan,Sea monster; as seen in Job 41
Leyak,Anthropophagous flying head with entrails
Liderc,Magical chicken that transforms into a humanoid
Lightning Bird,Magical bird that can be found at sites of lightning strikes
Lilitu,Winged demon
Limnades,Lake nymph
Lindworm,Dragon
Ljosalfar,Sunlight spirits; the Light Elves
Long,Dragon
Loogaroo,Shapeshifting; female vampire
Lubber fiend,House spirit
Luison,Death spirit
Lusca,Sea Monster
Lutin,Amusing goblin
Lynx,Feline guide spirit
Maal,Malevolent ghostly mermaid
Machlyes,Hermaphroditic humanoid
Madremonte,Nature guardian
Maero,Savage; arboreal humanoids
Magog,Giant protector of London
Majas gari,Benevolent house spirit
Makara,Aquatic beings
Mami Wata,Supernaturally beautiful water spirits
Manananggal,Vampires that sever their torsos from their legs to fly around
Mandrake,Diminutive; animated construct
Manes,Ancestral spirits
Mannegishi,Little people with six fingers and no noses
Mapinguari,Giant sloth
Marabbecca,Malevolent water spirit
Marid,Jinn associated with open waters of the seas and oceans
Maro deives,Disease spirits
Matagot,Spirit that takes animal form; usually that of a black cat
Mayura,Peacock spirit
Mazikeen,Invisible; malevolent spirit
Mbwiri,Possessing demon
Meliae,Ash tree nymph
Melusine,Female water spirit; with the form of a winged mermaid or serpent
Menehune,Little people and craftsmen
Menninkainen,Little people and nature spirits
Merlion,Combination of a lion and a fish; the symbol of Singapore
Mimi,Extremely elongated humanoid that has to live in rock crevasses to avoid blowing away
Minka Bird,Death spirit
Minokawa,Giant swallow
Mishibizhiw,Feline water spirit
Mizuchi,Water dragon
Mngwa,Gigantic; ferocious nocturnal feline
Mogwai,Vengeful ghost or demon
Mohan,Nature spirit
Mokoi,Malevolent spirit that kills sorcerers
Monai,Giant snake with antennae
Mono Grande,Giant monkey
Monopod,Dwarf with one giant foot
Mooinjer veggey,Nature spirit
Mora,Disembodied spirit
Morgens,Water spirits
Mormolykeia,Underworld spirit
Moroi,Vampiric ghost
Moss people,Little people and tree spirits
Mujina,Shapeshifting badger spirit
Muldjewangk,Water monster
Multo,Spirit of a deceased person seeking justice or has unfinished business
Muse,Spirits that inspire artists
Myling,Ghosts of unbaptized children
Nachzehrer,Anthropophagous undead
Naga fireballs,Spectral fire
Naiad,Freshwater nymph
Nakki,Water spirit
Namahage,Ritual disciplinary demon from the Oga Peninsula
Namazu,Giant catfish whose thrashing causing earthquakes
Nang Takian,Tree spirit
Napaeae,Grotto nymph
Narecnitsi,Fate spirit
Nariphon,Pod people
Nargun,Water monster
Nav',Ghost
Nawao,Savage humanoid
Neck,Female water spirit
Negret,Little people that turn into coins
Nekomusume,Cat in the form of a girl
Nemean Lion,Lion with impenetrable skin
Nephilim,Gigantic sons of Grigori and human women
Nereid,Nymph daughters of Nereus
Ngen,Nature spirit
Nian,Predatory animal
Nightmarchers,Warrior ghosts
Nikusui,Monster which appears as a young woman and sucks all of the flesh off of its victim's body
Nimerigar,Aggressive little people
Ninki Nanka,Large reptile; possibly a dragon
Nisse,House spirit
Nidhoggr,Dragon
Nivatakavachas,Ocean demon
Nix,Female water spirit
Nobusuma,Supernatural wall; also a monstrous flying squirrel
Nocnitsa,Nightmare spirit
Nozuchi,Small sea serpent
Nu Gui,Vengeful female ghost
Nukekubi,Disembodied; flying head that attacks people
Numen,Tutelary spirit
Nuno,Malevolent little people
Nuppeppo,Animated chuck of dead flesh
Nurikabe,Spirit that manifests as an impassable; invisible wall
Nykstukas,Cavern spirit
Nymph,Nature spirit
Obake,Shapeshifting spirits
Obariyon,Spook which rides piggyback on a human victim and becomes unbearably heavy
Obayifo,Vampiric possession spirit
Obia,Gigantic animal that serves witches
Oceanid,Nymph daughters of Oceanus
Odei,Storm spirit
Odmience,Changeling
Og,Giant king of the Amorites
Ogre,Large; grotesque humanoid
Oiwa,Ghost of a woman with a distorted face who was murdered by her husband
Ojancanu,Giant cyclops who embodies evil.
Okubi,Death spirit
Oni,Large; grotesque humanoid demon; usual having red skin and horns
Onibi,Spectral fire
Onoskelis,Shapeshifting demon
Onryo,Vengeful ghost that manifests in a physical rather than a spectral form
Onza,Wild cat; possibly a subspecies of cougar
Oozlum bird,Bird that flies backwards
Orang Bunian,Forest spirit
Orang Minyak,Spectral rapist
Ordog,Shapeshifting demon
Oread,Mountain nymph
Ork,Little people and house spirits
Osiris,God of the dead and the judge of the underworld
Oshun,God of love and fertility
Otso,Bear spirit
Ouroboros,Mystic serpent/dragon that eats its own tail
Ovinnik,Malevolent threshing house spirit
Paasselka devils,Spectral fire
Pamola,Weather spirit
Pandi,Humanoid with giant ears; eight fingers and toes; and white hair
Panis,Demons with herds of stolen cows
Panlong,Water dragon
Panotti,Humanoid with gigantic ears
Panther,Feline with sweet breath
Parandrus,Shapeshifting animal whose natural form was a large ruminant
Pard,Fast; spotted feline believed to mate with lions to produce leopards
Patagon,Giant race reputed to live in the area of Patagonia
Pech,Strong little people
Pegaeae,Spring nymph
Pegasus,Winged horse
Pegacorn,Pegasus combined with a unicorn
Pelesit,Servant spirit
Peluda,Dragon
Penanggalan,Vampires that sever their heads from their bodies to fly around; usually with their intestines or other internal organs trailing behind
Peng,Giant bird
Penghou,Tree spirit
Peri,Winged humanoid
Pesanta,Nightmare demon in the form of a cat or dog
Peuchen,Vampiric; flying; shapeshifting serpent
Phi Tai Hong,Ghost of a person who has died suddenly of a violent or cruel death in Thai folklore
Phoenix,Regenerative bird
Piatek,Large land animal
Pictish Beast,Stylistic animal; possibly a dragon
Pillan,Nature spirit
Piru,Minor demon
Pixie,Little people and nature spirits
Pixiu,Winged lion
Plakavac,Vampire created when a mother strangles her child
Polevik,Little people and field spirits
Polong,Invisible servant spirit
Poltergeist,Ghost that moves objects
Pombero,Wild man and nature spirit
Ponaturi,Grotesque; malevolent humanoid
Pontianak,Undead; vampiric women who died in childbirth
Poukai,Giant bird
Preta,Ghosts of especially greedy people
Psotnik,Mischievous spirit
Psychopomp,Creatures; spirits; angels; or deities in many religions whose responsibility is to escort newly deceased souls from Earth to the afterlife
Pterippus,Winged horse
Puca,Shapeshifting animal spirit
Puki,Malevolent little person
Puck,House spirit
Putz,House spirit
Pugot,Headless humanoid
Puk,House spirit
Pukis,Malevolent house spirit
Pygmy,Little people
Python,Serpentine dragon
Qalupalik,Aquatic human abductor
Qiqirn,Large; bald dog spirit
Qliphoth,Evil spirits
Quetzalcoatl," Important god of the Aztec people; name meaning ""feathered serpent""; not to be confused with the quetzal; which is a type of bird"
Ra,Spirit that protects a specific place
Rabisu,Vampiric spirit that ambushes people
Radande,Tree spirit
Ragana,Malevolent witch
Raiju,Lightning spirit
Rain Bird,Rain spirit
Rainbow crow,Crow spirit
Rainbow Serpent,Snake
Rakshasa,Shapeshifting demon
Rarog,Whirlwind spirit
Raven Spirit,Trickster spirit
Ratatoskr,Squirrel spirit
Redcap,Malevolent; grotesque humanoid
Re'em,Gigantic land animal
Reichsadler,Eagle; sometimes depicted with two heads
Rephaite,Giant
Revenant,Reanimated dead
Roc,Gigantic bird
Rompo,Skeletal creature with elements of a rabbit; badger; and bear
Rusalka,Female water spirit
Ryu,dragon
Sagari,Horse's head that dangles from trees on Kyushu
Salamander,Fire elemental
Samodiva,Nature spirit
Santelmo,Spirits in a form of fireball; roaming around the forest
Sanziana,Nature spirit
Sarimanok,Bird of good fortune
Sarngika,Bird spirit
Sarugami,Wicked monkey spirit which was defeated by a dog
Satyrus,Apes who always bear twins; one the mother loves; the other it hates
Sceadugenga,Shapeshifting undead
Scitalis,Snake which mesmerizes its prey
Sea monster,Giant; marine animals
Sea serpent,Serpentine sea monster
Seko,Water spirit which can be heard making merry at night
Seps,Snake with highly corrosive venom
Serpent,Snake spirit
Shade,Spiritual imprint
Shadow People,Malevolent ghost
Shahbaz,Giant eagle or hawk
Shaitan Islam,Similar to Lucifer from the Bible
Shedu,Protective spirit with the form of a winged bull or lion with a human head
Shellycoat,Water spirit
Shen,Shapeshifing sea monster
Shenlong,Weather dragon
Shibaten,Water spirit from Shikoku
Shikome,Underworld hag
Shinigami," ""Death god"""
Shirouneri,Animated mosquito netting or dust cloth
Shiryo,Spirit of a dead person
Shishi,Protective animal
Shokera,Creature that peers in through skylights
Shtriga,Evil or dangerous witch
Shui Gui,Drowned ghost
Shug Monkey,Dog/monkey
Simargl,Winged dog
Singa,Feline animal
Sint Holo,Serpentine rain spirit
Sirrush,Dragon with aquiline hind legs and feline forelegs
Sjora,Freshwater spirit
Sjovaettir,Sea spirit
Skogsra,Forest spirit
Skookum,Hairy giant
Skrzak,Flying imp
Sky Women,Weather spirit
Sluagh,Restless ghost
Soragami,Ritual disciplinary demon
Sorobanbozu,Ghost with an abacus
Sotangitsune,Fox spirit from Kyoto
Soucouyant,Vampiric hag who takes the form of a fireball at night
Spectre,Terrifying ghost
Sphinx,Winged lion with a woman's head
Spiridus,Little people
Spirit,Ghosts
Spriggan,Guardians of graveyards and ruins
Sprite,little people; ghosts or elves
Squonk,Ugly and lonely creature capable of evading capture by dissolving itself into a pool of tears
Strigoi,Vampire
Strix,Vampiric bird
Struthopodes,Humanoid whose males have enormous feet; and females have tiny feet
Strzyga,Vampiric undead
Stuhac,Malevolent mountain spirit
Stymphalian Bird,Metallic bird
Suangi,Anthropophagous sorcerer
Sudice,Fortune spirit
Surma,Hellhound
Suzaku,Japanese version of the Chinese Vermillion Bird
Svadilfari,Unnatural strong horse; father of Sleipnir
Svartalfar,Cavern spirits; the Black Elves
Sylph,Air elemental
Sylvan,Forest spirit
Syrbotae,African giant
Syrictae,Reptilian humanoid
Tachash,Large land animal
Taimatsumaru,Tengu surrounded in demon fire
Takam,Nature spirit
Talos,Winged giant made of bronze
Tangie,Shapeshifting water spirit
Taniwha,Water spirit
Tantankororin,Unharvested persimmon which becomes a monster
Tanuki,Shapeshifting raccoon dog
Taotao Mona,Ancestral spirits
Taotie,Greed spirit
Tapairu,Nature spirit
Tarasque,Dragon with leonine; turtle; bear; and human attributes
Tartaruchi,Demonic punisher
Tatsu,Japanese dragon
Teju Jagua,Lizard with seven dog heads
Tecumbalam,Bird
Tengu,Anthropomorphic bird
Tennin,Angelic humanoid
Tepegoz,Azerbaijani mythical creature similar to the cyclops Polyphemus
Teumessian Fox,Gigantic fox
Thunderbird,Avian lightning spirit; bird
Tiangou,Meteoric dog
Tianlong,Celestial dragon
Tibicena,Evil Dog
Tiddy Mun,Bog spirit
Tigmamanukan,Asian fairy bluebird believed in as part of Philippine mythology
Tigris,Giant lion
Tikbalang,Anthropomorphic horse
Tikoloshe,Little people and water spirit
Timingila,Sea monster
Tipua,Spirit that protects a specific place
Titan,Giant
Tiyanak,Demons that are formerly souls of dead unbaptized babies
Tizheruk,Sea serpent
Tlahuelpuchi,Shapeshifting vampire
Tomte,House spirit
Topielec,Water spirit
Totetsu,Greed spirit
Toyol,Servant spirit
Trasgo,Grotesque; mischievous little people
Trauco,Fertility spirit
Trenti,Diminutive demon
Trickster,A character in a story which exhibits a great degree of intellect or secret knowledge; and uses it to play tricks or otherwise disobey normal rules and conventional behaviour
Tripurasura,Demonic inhabitants of Tripura
Troll,Nature spirit
Trow,Little people and nature spirits
Tsuchigumo,Shapeshifting; giant spider
